"","Ereignis.ID","Datum","SchaSum.MIN","SchaSum.MEDIAN","SchaSum.MAX","wgs.p95","Datensatz"
"1",10000,"1984-11-23",0.0019167,0.006144,0.0466188,91,"sim"
"2",10100,"1986-01-20",0.217112,0.2995476,0.5197218,102,"sim"
"3",10200,"1986-03-25",0.6778562,0.8468772,1.1975519,101,"sim"
"4",10300,"1986-10-22",0.3029869,0.3824243,0.5038502,96,"sim"
"5",10700,"1990-01-25",0.0093697,0.0188724,0.0567668,95,"sim"
"6",11700,"1993-12-08",0.0808225,0.1109681,0.1810362,99,"sim"
"7",11800,"1994-01-28",0.8993521,1.1293248,1.5258628,95,"sim"
"8",12500,"1998-01-04",0.0321693,0.0533625,0.1761547,98,"sim"
"9",12600,"1998-10-28",0.0024244,0.0092105,0.0625575,96,"sim"
"10",13600,"2007-01-18",0.0131824,0.0255868,0.1090271,101,"sim"
"11",13800,"2008-03-02",0.081735,0.1214224,0.2102159,98,"sim"
"12",14000,"2009-02-11",5.0443069,5.984277,7.7036504,108,"sim"
"13",14100,"2010-02-27",4.4401324,5.3643715,6.9778381,108,"sim"
"14",14200,"2011-12-16",3.4706398,4.1042346,5.5606974,107,"sim"
"15",14800,"1972-11-13",0.8830771,1.0729908,1.3476759,97,"sim"
"16",14900,"1984-01-13",0.1086385,0.1676531,0.3320366,97,"sim"
"17",15000,"1990-02-27",13.8619314,15.6725838,17.9733301,115,"sim"
"18",15100,"1999-12-26",58.0336023,62.7226257,69.0342816,133,"sim"
"19",2200,"1949-03-01",1.3300132,1.6969858,2.4356454,98,"sim"
"20",3200,"1952-11-07",0.3905815,0.5317597,0.8299832,95,"sim"
"21",3900,"1954-12-23",1.1759767,1.4161076,1.9267498,106,"sim"
"22",5500,"1962-02-17",0.3340521,0.4372233,0.7151961,96,"sim"
"23",6400,"1967-02-24",0.0066595,0.0209838,0.1063853,91,"sim"
"24",7600,"1971-11-20",0.1405708,0.2099144,0.4104307,92,"sim"
"25",8400,"1974-10-20",0.0314863,0.0535426,0.1379946,93,"sim"
"26",8600,"1976-01-03",0.0061975,0.0146894,0.0431355,91,"sim"
"27",9700,"1983-02-01",0.1021323,0.1517082,0.2796872,95,"sim"
