"","Ereignis.ID","Datum","SchaSum","wgs.p95","Datensatz"
"1",10000,"1984-11-23",0.36075728,91,"obs.wisc"
"2",10100,"1986-01-20",0.70461524,102,"obs.wisc"
"3",10200,"1986-03-25",0.47047642,101,"obs.wisc"
"4",10300,"1986-10-22",0.06203716,96,"obs.wisc"
"5",10700,"1990-01-25",0.08273392,95,"obs.wisc"
"6",11700,"1993-12-08",0.55956039,99,"obs.wisc"
"7",11800,"1994-01-28",0.59061745,95,"obs.wisc"
"8",12500,"1998-01-04",0.25807702,98,"obs.wisc"
"9",12600,"1998-10-28",0.90757022,96,"obs.wisc"
"10",13600,"2007-01-18",1.24117472,101,"obs.wisc"
"11",13800,"2008-03-02",0.02619871,98,"obs.wisc"
"12",14000,"2009-02-11",0.01145393,108,"obs.wisc"
"13",14100,"2010-02-27",0.02733518,108,"obs.wisc"
"14",14200,"2011-12-16",0.68586852,107,"obs.wisc"
"16",14900,"1984-01-13",0.21671742,97,"obs.wisc"
"17",15000,"1990-02-27",10.53264045,115,"obs.wisc"
"18",15100,"1999-12-26",62.42682106,133,"obs.wisc"
"27",9700,"1983-02-01",0.34877956,95,"obs.wisc"
